Month,Year,"OIL COMPANIES","Quantity (000 Metric Tonnes)",last_updated
February,2021,"HMEL-GGSR, BATHINDA, PUNJAB",13.00,2023-08-19
February,2021,"GRAND TOTAL",18617.00,2023-08-19
March,2021,"IOCL-KOYALI, GUJARAT",944.00,2023-08-19
March,2021,"IOCL-PANIPAT, HARYANA",1192.00,2023-08-19
March,2021,"IOCL-BONGAIGAON,ASSAM",230.00,2023-08-19
March,2021,"BPCL-KOCHI, KERALA",1383.00,2023-08-19
March,2021,"NRL-NUMALIGARH, ASSAM",241.00,2023-08-19
March,2021,BPCL-TOTAL,3603.00,2023-08-19
March,2021,"ONGC-TATIPAKA,ANDHRA PRADESH",8.00,2023-08-19
March,2021,"RIL,JAMNAGAR,GUJARAT",2839.00,2023-08-19
March,2021,"RIL-(SEZ), JAMNAGAR,GUJARAT",2051.00,2023-08-19
April,2022,"IOCL-PANIPAT, HARYANA",1172.27,2023-08-19
April,2022,"MRPL-MANGALORE,KARNATAKA",1480.97,2023-08-19
April,2022,HPCL-TOTAL,2569.16,2023-08-19
May,2022,"IOCL TOTAL",6422.41,2023-08-19
May,2022,"BPCL-MUMBAI, MAHARASHTRA",1256.55,2023-08-19
May,2022,"BPCL-KOCHI, KERALA",1431.85,2023-08-19
May,2022,"HMEL-GGSR, BATHINDA, PUNJAB",1111.19,2023-08-19
May,2022,"RIL TOTAL",5671.18,2023-08-19
May,2022,"NEL-VADINAR,GUJARAT",1725.51,2023-08-19
May,2022,"GRAND TOTAL",22643.90,2023-08-19
June,2022,"IOCL-KOYALI, GUJARAT",1314.78,2023-08-19
June,2022,"IOCL-PANIPAT, HARYANA",1253.85,2023-08-19
June,2022,"IOCL-GUWAHATI,ASSAM",92.08,2023-08-19
June,2022,"IOCL-BONGAIGAON,ASSAM",185.65,2023-08-19
June,2022,"IOCL-PARADIP,ODISHA",1263.58,2023-08-19
June,2022,"IOCL TOTAL",6276.80,2023-08-19
June,2022,BPCL-TOTAL,2895.38,2023-08-19
June,2022,HPCL-TOTAL,2712.01,2023-08-19
June,2022,"NEL-VADINAR,GUJARAT",1679.61,2023-08-19
July,2022,"IOCL-HALDIA, WEST BENGAL",722.08,2023-08-19
July,2022,"IOCL-PARADIP,ODISHA",1346.24,2023-08-19
February,2023,BPCL-TOTAL,3356.68,2023-08-19
February,2023,"ONGC-TATIPAKA,ANDHRA PRADESH",6.12,2023-08-19
February,2023,"MRPL-MANGALORE,KARNATAKA",1392.99,2023-08-19
February,2023,"HPCL-VISAKH,ANDHRA PRADESH",745.84,2023-08-19
February,2023,HPCL-TOTAL,2557.50,2023-08-19
February,2023,"RIL-(SEZ), JAMNAGAR,GUJARAT",2280.04,2023-08-19
March,2023,"IOCL-BARAUNI,BIHAR",579.97,2023-08-19
March,2023,"IOCL-HALDIA, WEST BENGAL",742.52,2023-08-19
March,2023,"BPCL-KOCHI, KERALA",1542.02,2023-08-19
March,2023,"MRPL-MANGALORE,KARNATAKA",1502.25,2023-08-19
March,2023,"HPCL-MUMBAI,MAHARASHTRA",873.83,2023-08-19
March,2023,HPCL-TOTAL,2858.24,2023-08-19
April,2021,"IOCL-MATHURA, UTTAR PRADESH",819.00,2023-08-19
April,2021,"IOCL-PANIPAT, HARYANA",1322.00,2023-08-19
April,2021,"IOCL-GUWAHATI,ASSAM",62.00,2023-08-19
April,2021,"IOCL-PARADIP,ODISHA",1332.00,2023-08-19
April,2021,CPCL-TOTAL,760.00,2023-08-19
April,2021,BPCL-TOTAL,3236.00,2023-08-19
April,2021,"ONGC TOTAL",1107.00,2023-08-19
April,2021,"HPCL-VISAKH,ANDHRA PRADESH",826.00,2023-08-19
April,2021,HPCL-TOTAL,1926.00,2023-08-19
April,2021,"RIL,JAMNAGAR,GUJARAT",2773.00,2023-08-19
April,2021,"RIL-(SEZ), JAMNAGAR,GUJARAT",2248.00,2023-08-19
April,2021,"NEL-VADINAR,GUJARAT",1633.00,2023-08-19
April,2021,"GRAND TOTAL",19885.00,2023-08-19
May,2021,"IOCL-PANIPAT, HARYANA",1156.00,2023-08-19
May,2021,"IOCL-GUWAHATI,ASSAM",,2023-08-19
May,2021,"IOCL-DIGBOI,ASSAM",61.00,2023-08-19
May,2021,"IOCL TOTAL",5380.00,2023-08-19
January,2022,"IOCL-KOYALI, GUJARAT",1273.00,2023-08-19
January,2022,"IOCL-PANIPAT, HARYANA",1221.00,2023-08-19
January,2022,"IOCL-DIGBOI,ASSAM",59.00,2023-08-19
January,2022,"IOCL-PARADIP,ODISHA",1325.00,2023-08-19
January,2022,"BPCL-KOCHI, KERALA",1450.00,2023-08-19
January,2022,"HPCL-MUMBAI,MAHARASHTRA",852.00,2023-08-19
January,2022,"RIL TOTAL",5277.00,2023-08-19
February,2022,"IOCL-BARAUNI,BIHAR",529.00,2023-08-19
February,2022,"IOCL-HALDIA, WEST BENGAL",630.00,2023-08-19
February,2022,"IOCL-BONGAIGAON,ASSAM",181.00,2023-08-19
February,2022,CPCL-TOTAL,928.00,2023-08-19
February,2022,"BPCL-MUMBAI, MAHARASHTRA",1236.00,2023-08-19
February,2022,"ONGC-TATIPAKA,ANDHRA PRADESH",6.00,2023-08-19
February,2022,"MRPL-MANGALORE,KARNATAKA",1392.00,2023-08-19
February,2022,"HPCL-MUMBAI,MAHARASHTRA",748.00,2023-08-19
February,2022,"HPCL-VISAKH,ANDHRA PRADESH",761.00,2023-08-19
February,2022,"RIL,JAMNAGAR,GUJARAT",2777.00,2023-08-19
February,2022,"RIL-(SEZ), JAMNAGAR,GUJARAT",2013.00,2023-08-19
March,2022,"IOCL-KOYALI, GUJARAT",1338.00,2023-08-19
March,2022,"IOCL-HALDIA, WEST BENGAL",747.00,2023-08-19
March,2022,"IOCL-GUWAHATI,ASSAM",93.00,2023-08-19
March,2022,CPCL-TOTAL,1062.00,2023-08-19
March,2022,BORL-BINA,704.00,2023-08-19
March,2022,"NRL-NUMALIGARH, ASSAM",188.00,2023-08-19
March,2022,"ONGC TOTAL",1510.00,2023-08-19
March,2022,"RIL,JAMNAGAR,GUJARAT",3056.00,2023-08-19
March,2022,"RIL TOTAL",5129.00,2023-08-19
April,2020,"IOCL-HALDIA, WEST BENGAL",305.00,2023-08-19
May,2021,"RIL-(SEZ), JAMNAGAR,GUJARAT",2678.00,2023-08-19
June,2021,"IOCL-HALDIA, WEST BENGAL",606.00,2023-08-19
June,2021,"IOCL-GUWAHATI,ASSAM",,2023-08-19
June,2021,BORL-BINA,425.00,2023-08-19
June,2021,"MRPL-MANGALORE,KARNATAKA",1010.00,2023-08-19
June,2021,"RIL TOTAL",5219.00,2023-08-19
June,2021,"GRAND TOTAL",18400.00,2023-08-19
July,2021,"IOCL-BARAUNI,BIHAR",569.00,2023-08-19
July,2021,"IOCL-MATHURA, UTTAR PRADESH",665.00,2023-08-19
July,2021,"IOCL-GUWAHATI,ASSAM",,2023-08-19
July,2021,"IOCL-BONGAIGAON,ASSAM",226.00,2023-08-19
July,2021,"IOCL TOTAL",5668.00,2023-08-19
July,2021,CPCL-TOTAL,819.00,2023-08-19
July,2021,"NRL-NUMALIGARH, ASSAM",227.00,2023-08-19
July,2021,"ONGC-TATIPAKA,ANDHRA PRADESH",3.00,2023-08-19
July,2021,"MRPL-MANGALORE,KARNATAKA",1105.00,2023-08-19
July,2021,HPCL-TOTAL,1898.00,2023-08-19
August,2021,"IOCL TOTAL",4904.00,2023-08-19
August,2021,"BPCL-MUMBAI, MAHARASHTRA",1286.00,2023-08-19
August,2021,"HPCL-VISAKH,ANDHRA PRADESH",479.00,2023-08-19
August,2021,"RIL TOTAL",5110.00,2023-08-19
September,2021,"IOCL-HALDIA, WEST BENGAL",642.00,2023-08-19
September,2021,"IOCL-DIGBOI,ASSAM",60.00,2023-08-19
October,2022,"GRAND TOTAL",20413.63,2023-08-19
November,2022,"IOCL-GUWAHATI,ASSAM",89.34,2023-08-19
November,2022,"HPCL-MUMBAI,MAHARASHTRA",820.12,2023-08-19
November,2022,HPCL-TOTAL,2599.45,2023-08-19
November,2022,"RIL TOTAL",5233.71,2023-08-19
December,2022,"IOCL-PARADIP,ODISHA",1416.58,2023-08-19
December,2022,"IOCL TOTAL",6161.15,2023-08-19
December,2022,CPCL-TOTAL,960.42,2023-08-19
December,2022,"BPCL-KOCHI, KERALA",1506.63,2023-08-19
December,2022,BPCL-TOTAL,3563.35,2023-08-19
December,2022,"MRPL-MANGALORE,KARNATAKA",1504.05,2023-08-19
December,2022,"HPCL-VISAKH,ANDHRA PRADESH",818.38,2023-08-19
December,2022,HPCL-TOTAL,2785.38,2023-08-19
December,2022,"NEL-VADINAR,GUJARAT",1712.08,2023-08-19
January,2023,"IOCL-HALDIA, WEST BENGAL",704.67,2023-08-19
January,2023,"IOCL-PANIPAT, HARYANA",1334.66,2023-08-19
January,2023,"IOCL-GUWAHATI,ASSAM",94.01,2023-08-19
January,2023,"IOCL-PARADIP,ODISHA",1425.16,2023-08-19
January,2023,"ONGC TOTAL",1503.17,2023-08-19
January,2023,"HPCL-MUMBAI,MAHARASHTRA",837.69,2023-08-19
January,2023,"RIL TOTAL",5390.80,2023-08-19
January,2023,"NEL-VADINAR,GUJARAT",1719.37,2023-08-19
January,2023,"GRAND TOTAL",22809.58,2023-08-19
February,2023,"IOCL-MATHURA, UTTAR PRADESH",740.61,2023-08-19
February,2023,"IOCL-BONGAIGAON,ASSAM",233.22,2023-08-19
November,2020,"IOCL-KOYALI, GUJARAT",1124.00,2023-08-19
November,2020,"IOCL-PANIPAT, HARYANA",1359.00,2023-08-19
November,2020,"IOCL TOTAL",6210.00,2023-08-19
November,2020,CPCL-TOTAL,729.00,2023-08-19
November,2020,BORL-BINA,594.00,2023-08-19
November,2020,"HMEL-GGSR, BATHINDA, PUNJAB",1038.00,2023-08-19
December,2020,"IOCL-DIGBOI,ASSAM",58.00,2023-08-19
December,2020,"IOCL TOTAL",5988.00,2023-08-19
December,2020,HPCL-TOTAL,2311.00,2023-08-19
January,2021,"IOCL-MATHURA, UTTAR PRADESH",893.00,2023-08-19
January,2021,"IOCL-PANIPAT, HARYANA",1321.00,2023-08-19
January,2021,"MRPL-MANGALORE,KARNATAKA",1420.00,2023-08-19
January,2021,"NEL-VADINAR,GUJARAT",1545.00,2023-08-19
January,2021,"GRAND TOTAL",21809.00,2023-08-19
February,2021,"IOCL-BARAUNI,BIHAR",518.00,2023-08-19
February,2021,"IOCL-MATHURA, UTTAR PRADESH",790.00,2023-08-19
April,2020,"IOCL-GUWAHATI,ASSAM",,2023-08-19
April,2020,CPCL-TOTAL,308.00,2023-08-19
April,2020,"ONGC-TATIPAKA,ANDHRA PRADESH",2.00,2023-08-19
April,2020,"RIL-(SEZ), JAMNAGAR,GUJARAT",2523.00,2023-08-19
May,2020,"IOCL-PARADIP,ODISHA",959.00,2023-08-19
May,2020,"BPCL-KOCHI, KERALA",676.00,2023-08-19
May,2020,"NRL-NUMALIGARH, ASSAM",206.00,2023-08-19
May,2020,BPCL-TOTAL,2229.00,2023-08-19
May,2020,HPCL-TOTAL,1920.00,2023-08-19
May,2020,"RIL-(SEZ), JAMNAGAR,GUJARAT",2550.00,2023-08-19
June,2020,"IOCL-GUWAHATI,ASSAM",64.00,2023-08-19
June,2020,"IOCL-PARADIP,ODISHA",1227.00,2023-08-19
June,2020,"BPCL-MUMBAI, MAHARASHTRA",972.00,2023-08-19
June,2020,HPCL-TOTAL,2164.00,2023-08-19
July,2020,"IOCL-PANIPAT, HARYANA",1115.00,2023-08-19
September,2021,"BPCL-MUMBAI, MAHARASHTRA",957.00,2023-08-19
September,2021,BORL-BINA,579.00,2023-08-19
September,2021,"HMEL-GGSR, BATHINDA, PUNJAB",1079.00,2023-08-19
October,2021,"IOCL-DIGBOI,ASSAM",61.00,2023-08-19
October,2021,CPCL-TOTAL,500.00,2023-08-19
October,2021,BORL-BINA,658.00,2023-08-19
October,2021,"HPCL-MUMBAI,MAHARASHTRA",535.00,2023-08-19
November,2021,"IOCL TOTAL",5982.00,2023-08-19
November,2021,"MRPL-MANGALORE,KARNATAKA",1468.00,2023-08-19
November,2021,"HPCL-VISAKH,ANDHRA PRADESH",819.00,2023-08-19
December,2021,"IOCL-BARAUNI,BIHAR",602.00,2023-08-19
December,2021,BORL-BINA,657.00,2023-08-19
December,2021,BPCL-TOTAL,3321.00,2023-08-19
July,2022,"MRPL-MANGALORE,KARNATAKA",1428.36,2023-08-19
August,2022,"IOCL-DIGBOI,ASSAM",61.16,2023-08-19
August,2022,CPCL-TOTAL,940.43,2023-08-19
August,2022,"GRAND TOTAL",19533.70,2023-08-19
September,2022,"IOCL TOTAL",5088.28,2023-08-19
September,2022,"MRPL-MANGALORE,KARNATAKA",1329.62,2023-08-19
October,2022,"IOCL-BARAUNI,BIHAR",568.94,2023-08-19
October,2022,"IOCL-HALDIA, WEST BENGAL",724.58,2023-08-19
October,2022,CPCL-TOTAL,723.13,2023-08-19
October,2022,"BPCL-KOCHI, KERALA",581.02,2023-08-19
October,2022,BORL-BINA,705.16,2023-08-19
October,2022,"ONGC TOTAL",1501.02,2023-08-19
October,2022,"HMEL-GGSR, BATHINDA, PUNJAB",1114.49,2023-08-19
October,2022,HPCL-TOTAL,2663.38,2023-08-19
July,2020,"RIL TOTAL",4299.00,2023-08-19
July,2020,"NEL-VADINAR,GUJARAT",1560.00,2023-08-19
August,2020,CPCL-TOTAL,562.00,2023-08-19
August,2020,"NRL-NUMALIGARH, ASSAM",226.00,2023-08-19
August,2020,"HPCL-VISAKH,ANDHRA PRADESH",651.00,2023-08-19
August,2020,"RIL,JAMNAGAR,GUJARAT",3021.00,2023-08-19
September,2020,"IOCL-MATHURA, UTTAR PRADESH",615.00,2023-08-19
September,2020,CPCL-TOTAL,770.00,2023-08-19
September,2020,"RIL-(SEZ), JAMNAGAR,GUJARAT",2230.00,2023-08-19
October,2020,"IOCL-PANIPAT, HARYANA",1237.00,2023-08-19
October,2020,BPCL-TOTAL,2910.00,2023-08-19
October,2020,"ONGC TOTAL",738.00,2023-08-19
February,2021,BPCL-TOTAL,3503.00,2023-08-19
March,2021,CPCL-TOTAL,964.00,2023-08-19
March,2021,"HPCL-VISAKH,ANDHRA PRADESH",867.00,2023-08-19
March,2021,"NEL-VADINAR,GUJARAT",1627.00,2023-08-19
April,2022,"IOCL-MATHURA, UTTAR PRADESH",805.13,2023-08-19
April,2022,"IOCL-BONGAIGAON,ASSAM",209.04,2023-08-19
April,2022,"IOCL-PARADIP,ODISHA",1327.97,2023-08-19
April,2022,CPCL-TOTAL,904.20,2023-08-19
April,2022,BORL-BINA,684.49,2023-08-19
April,2022,BPCL-TOTAL,3300.36,2023-08-19
April,2022,"HPCL-MUMBAI,MAHARASHTRA",731.49,2023-08-19
April,2022,"GRAND TOTAL",21579.61,2023-08-19
May,2022,"IOCL-GUWAHATI,ASSAM",93.84,2023-08-19
May,2022,"NRL-NUMALIGARH, ASSAM",275.34,2023-08-19
May,2022,"ONGC-TATIPAKA,ANDHRA PRADESH",6.78,2023-08-19
May,2022,"HPCL-MUMBAI,MAHARASHTRA",844.05,2023-08-19
June,2022,"IOCL-BARAUNI,BIHAR",559.48,2023-08-19
June,2022,"IOCL-DIGBOI,ASSAM",60.93,2023-08-19
June,2022,"HMEL-GGSR, BATHINDA, PUNJAB",1078.48,2023-08-19
June,2022,"GRAND TOTAL",21574.57,2023-08-19
July,2022,"IOCL-PANIPAT, HARYANA",1154.63,2023-08-19
July,2022,"IOCL-DIGBOI,ASSAM",62.85,2023-08-19
July,2022,"IOCL-BONGAIGAON,ASSAM",211.02,2023-08-19
April,2020,"IOCL-PANIPAT, HARYANA",457.00,2023-08-19
April,2020,"NRL-NUMALIGARH, ASSAM",170.00,2023-08-19
April,2020,BPCL-TOTAL,2086.00,2023-08-19
April,2020,"HPCL-MUMBAI,MAHARASHTRA",549.00,2023-08-19
April,2020,"HMEL-GGSR, BATHINDA, PUNJAB",593.00,2023-08-19
April,2020,HPCL-TOTAL,1917.00,2023-08-19
April,2020,"NEL-VADINAR,GUJARAT",1402.00,2023-08-19
May,2020,"IOCL-GUWAHATI,ASSAM",24.00,2023-08-19
May,2020,"MRPL-MANGALORE,KARNATAKA",566.00,2023-08-19
May,2020,"HPCL-VISAKH,ANDHRA PRADESH",743.00,2023-08-19
June,2020,"IOCL-BARAUNI,BIHAR",512.00,2023-08-19
June,2020,"IOCL-PANIPAT, HARYANA",1173.00,2023-08-19
June,2020,"IOCL-DIGBOI,ASSAM",61.00,2023-08-19
June,2020,"IOCL TOTAL",5573.00,2023-08-19
June,2020,CPCL-TOTAL,579.00,2023-08-19
June,2020,"ONGC-TATIPAKA,ANDHRA PRADESH",7.00,2023-08-19
June,2020,"MRPL-MANGALORE,KARNATAKA",627.00,2023-08-19
June,2020,"HPCL-MUMBAI,MAHARASHTRA",654.00,2023-08-19
July,2020,"IOCL-BARAUNI,BIHAR",437.00,2023-08-19
July,2020,"IOCL-KOYALI, GUJARAT",1092.00,2023-08-19
July,2020,"IOCL-HALDIA, WEST BENGAL",580.00,2023-08-19
July,2020,"IOCL-GUWAHATI,ASSAM",87.00,2023-08-19
July,2020,"IOCL-PARADIP,ODISHA",1025.00,2023-08-19
July,2020,"BPCL-MUMBAI, MAHARASHTRA",1097.00,2023-08-19
December,2021,"HPCL-VISAKH,ANDHRA PRADESH",809.00,2023-08-19
December,2021,"HMEL-GGSR, BATHINDA, PUNJAB",1118.00,2023-08-19
December,2021,"RIL,JAMNAGAR,GUJARAT",3019.00,2023-08-19
December,2021,"NEL-VADINAR,GUJARAT",1710.00,2023-08-19
January,2022,"IOCL-HALDIA, WEST BENGAL",301.00,2023-08-19
January,2022,"IOCL-BONGAIGAON,ASSAM",207.00,2023-08-19
January,2022,BPCL-TOTAL,3475.00,2023-08-19
January,2022,"ONGC TOTAL",1448.00,2023-08-19
January,2022,"HPCL-VISAKH,ANDHRA PRADESH",793.00,2023-08-19
January,2022,"RIL-(SEZ), JAMNAGAR,GUJARAT",2235.00,2023-08-19
January,2022,"GRAND TOTAL",21709.00,2023-08-19
February,2022,"IOCL-KOYALI, GUJARAT",1200.00,2023-08-19
February,2022,"IOCL-GUWAHATI,ASSAM",82.00,2023-08-19
February,2022,"IOCL-PARADIP,ODISHA",1211.00,2023-08-19
February,2022,"IOCL TOTAL",5785.00,2023-08-19
February,2022,BORL-BINA,594.00,2023-08-19
February,2022,"HMEL-GGSR, BATHINDA, PUNJAB",1010.00,2023-08-19
March,2022,"IOCL-DIGBOI,ASSAM",61.00,2023-08-19
March,2022,"IOCL-BONGAIGAON,ASSAM",248.00,2023-08-19
March,2022,"IOCL TOTAL",6636.00,2023-08-19
March,2022,"BPCL-KOCHI, KERALA",1522.00,2023-08-19
March,2022,HPCL-TOTAL,2628.00,2023-08-19
March,2022,"RIL-(SEZ), JAMNAGAR,GUJARAT",2074.00,2023-08-19
July,2020,"MRPL-MANGALORE,KARNATAKA",766.00,2023-08-19
July,2020,"ONGC TOTAL",773.00,2023-08-19
July,2020,"HMEL-GGSR, BATHINDA, PUNJAB",1035.00,2023-08-19
August,2020,"IOCL-MATHURA, UTTAR PRADESH",641.00,2023-08-19
August,2020,BORL-BINA,451.00,2023-08-19
August,2020,"MRPL-MANGALORE,KARNATAKA",905.00,2023-08-19
August,2020,"RIL-(SEZ), JAMNAGAR,GUJARAT",1369.00,2023-08-19
August,2020,"NEL-VADINAR,GUJARAT",1539.00,2023-08-19
September,2020,"IOCL-BARAUNI,BIHAR",376.00,2023-08-19
September,2020,"IOCL-HALDIA, WEST BENGAL",440.00,2023-08-19
September,2020,"IOCL-PARADIP,ODISHA",992.00,2023-08-19
September,2020,"IOCL TOTAL",4657.00,2023-08-19
September,2020,"HPCL-VISAKH,ANDHRA PRADESH",728.00,2023-08-19
October,2020,"IOCL-BARAUNI,BIHAR",435.00,2023-08-19
October,2020,"IOCL-MATHURA, UTTAR PRADESH",709.00,2023-08-19
October,2020,"IOCL-GUWAHATI,ASSAM",84.00,2023-08-19
October,2020,"IOCL-DIGBOI,ASSAM",61.00,2023-08-19
October,2020,"BPCL-MUMBAI, MAHARASHTRA",1051.00,2023-08-19
October,2020,"BPCL-KOCHI, KERALA",1066.00,2023-08-19
October,2020,"MRPL-MANGALORE,KARNATAKA",731.00,2023-08-19
October,2020,HPCL-TOTAL,2327.00,2023-08-19
September,2021,"IOCL TOTAL",4705.00,2023-08-19
September,2021,"ONGC-TATIPAKA,ANDHRA PRADESH",7.00,2023-08-19
September,2021,"ONGC TOTAL",994.00,2023-08-19
September,2021,"HPCL-VISAKH,ANDHRA PRADESH",546.00,2023-08-19
September,2021,"RIL-(SEZ), JAMNAGAR,GUJARAT",2361.00,2023-08-19
September,2021,"RIL TOTAL",5203.00,2023-08-19
October,2021,"BPCL-KOCHI, KERALA",1444.00,2023-08-19
October,2021,"HMEL-GGSR, BATHINDA, PUNJAB",1113.00,2023-08-19
October,2021,HPCL-TOTAL,2501.00,2023-08-19
October,2021,"RIL,JAMNAGAR,GUJARAT",3110.00,2023-08-19
October,2021,"GRAND TOTAL",20958.00,2023-08-19
November,2021,"IOCL-BARAUNI,BIHAR",479.00,2023-08-19
November,2021,"IOCL-KOYALI, GUJARAT",1123.00,2023-08-19
November,2021,CPCL-TOTAL,816.00,2023-08-19
November,2021,BORL-BINA,684.00,2023-08-19
November,2021,"NRL-NUMALIGARH, ASSAM",223.00,2023-08-19
November,2021,"ONGC TOTAL",1475.00,2023-08-19
November,2021,HPCL-TOTAL,2445.00,2023-08-19
November,2021,"RIL-(SEZ), JAMNAGAR,GUJARAT",2451.00,2023-08-19
December,2021,"IOCL-MATHURA, UTTAR PRADESH",766.00,2023-08-19
December,2021,"IOCL-DIGBOI,ASSAM",62.00,2023-08-19
December,2021,"ONGC TOTAL",1441.00,2023-08-19
May,2021,"RIL,JAMNAGAR,GUJARAT",2837.00,2023-08-19
May,2021,"NEL-VADINAR,GUJARAT",1692.00,2023-08-19
June,2021,"BPCL-MUMBAI, MAHARASHTRA",1029.00,2023-08-19
June,2021,"BPCL-KOCHI, KERALA",1016.00,2023-08-19
June,2021,"HPCL-MUMBAI,MAHARASHTRA",304.00,2023-08-19
June,2021,HPCL-TOTAL,1848.00,2023-08-19
June,2021,"RIL-(SEZ), JAMNAGAR,GUJARAT",2530.00,2023-08-19
July,2021,BORL-BINA,623.00,2023-08-19
July,2021,"ONGC TOTAL",1108.00,2023-08-19
July,2021,"HMEL-GGSR, BATHINDA, PUNJAB",1098.00,2023-08-19
July,2021,"NEL-VADINAR,GUJARAT",1677.00,2023-08-19
August,2021,"IOCL-BONGAIGAON,ASSAM",233.00,2023-08-19
August,2021,"MRPL-MANGALORE,KARNATAKA",1007.00,2023-08-19
August,2021,"ONGC TOTAL",1013.00,2023-08-19
August,2021,"HMEL-GGSR, BATHINDA, PUNJAB",1112.00,2023-08-19
August,2021,HPCL-TOTAL,1890.00,2023-08-19
September,2021,"IOCL-BARAUNI,BIHAR",56.00,2023-08-19
September,2021,"IOCL-PANIPAT, HARYANA",1086.00,2023-08-19
September,2021,"IOCL-GUWAHATI,ASSAM",77.00,2023-08-19
July,2022,BORL-BINA,586.53,2023-08-19
July,2022,"NRL-NUMALIGARH, ASSAM",261.07,2023-08-19
July,2022,"ONGC TOTAL",1433.34,2023-08-19
July,2022,"HPCL-VISAKH,ANDHRA PRADESH",683.83,2023-08-19
July,2022,"HMEL-GGSR, BATHINDA, PUNJAB",1109.49,2023-08-19
July,2022,"RIL,JAMNAGAR,GUJARAT",2932.96,2023-08-19
July,2022,"RIL-(SEZ), JAMNAGAR,GUJARAT",2549.47,2023-08-19
August,2022,"IOCL-BARAUNI,BIHAR",590.38,2023-08-19
August,2022,"IOCL-PANIPAT, HARYANA",1207.09,2023-08-19
August,2022,"BPCL-KOCHI, KERALA",1377.33,2023-08-19
August,2022,BPCL-TOTAL,3036.17,2023-08-19
September,2022,"IOCL-MATHURA, UTTAR PRADESH",767.41,2023-08-19
September,2022,"IOCL-DIGBOI,ASSAM",44.35,2023-08-19
September,2022,"IOCL-BONGAIGAON,ASSAM",244.44,2023-08-19
September,2022,HPCL-TOTAL,2533.10,2023-08-19
September,2022,"GRAND TOTAL",19549.92,2023-08-19
October,2022,"IOCL-MATHURA, UTTAR PRADESH",794.59,2023-08-19
October,2022,"BPCL-MUMBAI, MAHARASHTRA",1306.88,2023-08-19
November,2022,"IOCL-PANIPAT, HARYANA",699.93,2023-08-19
November,2022,"IOCL-DIGBOI,ASSAM",59.69,2023-08-19
November,2022,CPCL-TOTAL,921.00,2023-08-19
November,2022,"MRPL-MANGALORE,KARNATAKA",1461.60,2023-08-19
November,2022,"HMEL-GGSR, BATHINDA, PUNJAB",978.05,2023-08-19
November,2022,"RIL,JAMNAGAR,GUJARAT",2555.92,2023-08-19
December,2022,"IOCL-BARAUNI,BIHAR",529.96,2023-08-19
December,2022,"IOCL-BONGAIGAON,ASSAM",251.22,2023-08-19
December,2022,"NRL-NUMALIGARH, ASSAM",271.76,2023-08-19
December,2022,"HPCL-MUMBAI,MAHARASHTRA",850.56,2023-08-19
December,2022,"HMEL-GGSR, BATHINDA, PUNJAB",1116.44,2023-08-19
January,2023,"IOCL-BONGAIGAON,ASSAM",253.07,2023-08-19
January,2023,"BPCL-MUMBAI, MAHARASHTRA",1390.21,2023-08-19
January,2023,"BPCL-KOCHI, KERALA",1533.08,2023-08-19
January,2023,"HPCL-VISAKH,ANDHRA PRADESH",823.65,2023-08-19
January,2023,HPCL-TOTAL,2777.96,2023-08-19
February,2023,"IOCL-PANIPAT, HARYANA",1208.35,2023-08-19
February,2023,"ONGC TOTAL",1399.11,2023-08-19
February,2023,"HMEL-GGSR, BATHINDA, PUNJAB",1008.02,2023-08-19
March,2023,BPCL-TOTAL,3636.00,2023-08-19
March,2023,"HPCL-VISAKH,ANDHRA PRADESH",874.03,2023-08-19
March,2023,"NEL-VADINAR,GUJARAT",1707.40,2023-08-19
April,2021,"IOCL-KOYALI, GUJARAT",998.00,2023-08-19
April,2021,"IOCL-BONGAIGAON,ASSAM",225.00,2023-08-19
April,2021,"ONGC-TATIPAKA,ANDHRA PRADESH",7.00,2023-08-19
May,2021,"IOCL-HALDIA, WEST BENGAL",624.00,2023-08-19
May,2021,"IOCL-MATHURA, UTTAR PRADESH",692.00,2023-08-19
May,2021,"HPCL-VISAKH,ANDHRA PRADESH",737.00,2023-08-19
November,2020,"IOCL-HALDIA, WEST BENGAL",680.00,2023-08-19
November,2020,"IOCL-GUWAHATI,ASSAM",83.00,2023-08-19
November,2020,"IOCL-DIGBOI,ASSAM",59.00,2023-08-19
November,2020,"IOCL-BONGAIGAON,ASSAM",206.00,2023-08-19
November,2020,"BPCL-KOCHI, KERALA",1337.00,2023-08-19
November,2020,"ONGC-TATIPAKA,ANDHRA PRADESH",7.00,2023-08-19
November,2020,"RIL-(SEZ), JAMNAGAR,GUJARAT",2611.00,2023-08-19
November,2020,"NEL-VADINAR,GUJARAT",1476.00,2023-08-19
December,2020,"IOCL-MATHURA, UTTAR PRADESH",871.00,2023-08-19
December,2020,"IOCL-GUWAHATI,ASSAM",84.00,2023-08-19
December,2020,"MRPL-MANGALORE,KARNATAKA",1307.00,2023-08-19
January,2021,"IOCL-GUWAHATI,ASSAM",90.00,2023-08-19
January,2021,CPCL-TOTAL,917.00,2023-08-19
January,2021,"NRL-NUMALIGARH, ASSAM",249.00,2023-08-19
January,2021,"RIL-(SEZ), JAMNAGAR,GUJARAT",2648.00,2023-08-19
February,2021,"IOCL-PANIPAT, HARYANA",1047.00,2023-08-19
February,2021,BORL-BINA,601.00,2023-08-19
February,2021,"HPCL-MUMBAI,MAHARASHTRA",642.00,2023-08-19
