Month,Year,"OIL COMPANIES","Quantity (000 Metric Tonnes)",last_updated
September,2021,"IOCL-PARADIP,ODISHA",838.00,2023-08-19
September,2021,CPCL-TOTAL,497.00,2023-08-19
September,2021,"NRL-NUMALIGARH, ASSAM",238.00,2023-08-19
September,2021,"MRPL-MANGALORE,KARNATAKA",988.00,2023-08-19
September,2021,"NEL-VADINAR,GUJARAT",1668.00,2023-08-19
September,2021,"GRAND TOTAL",18214.00,2023-08-19
October,2021,"IOCL-BARAUNI,BIHAR",427.00,2023-08-19
October,2021,"IOCL-HALDIA, WEST BENGAL",736.00,2023-08-19
October,2021,"IOCL TOTAL",5517.00,2023-08-19
October,2021,BPCL-TOTAL,3213.00,2023-08-19
October,2021,"ONGC-TATIPAKA,ANDHRA PRADESH",6.00,2023-08-19
October,2021,"MRPL-MANGALORE,KARNATAKA",1463.00,2023-08-19
October,2021,"RIL-(SEZ), JAMNAGAR,GUJARAT",2644.00,2023-08-19
November,2021,"IOCL-HALDIA, WEST BENGAL",708.00,2023-08-19
November,2021,"IOCL-DIGBOI,ASSAM",61.00,2023-08-19
November,2021,"IOCL-PARADIP,ODISHA",1120.00,2023-08-19
December,2021,"IOCL-HALDIA, WEST BENGAL",264.00,2023-08-19
December,2021,"IOCL-PANIPAT, HARYANA",1298.00,2023-08-19
December,2021,"BPCL-MUMBAI, MAHARASHTRA",1304.00,2023-08-19
December,2021,"BPCL-KOCHI, KERALA",1360.00,2023-08-19
April,2022,"IOCL-BARAUNI,BIHAR",550.61,2023-08-19
April,2022,"IOCL-DIGBOI,ASSAM",58.03,2023-08-19
April,2022,"BPCL-MUMBAI, MAHARASHTRA",1301.76,2023-08-19
April,2022,"HPCL-VISAKH,ANDHRA PRADESH",797.81,2023-08-19
April,2022,"RIL-(SEZ), JAMNAGAR,GUJARAT",2116.64,2023-08-19
April,2022,"RIL TOTAL",5150.91,2023-08-19
April,2022,"NEL-VADINAR,GUJARAT",1659.98,2023-08-19
May,2022,"IOCL-BARAUNI,BIHAR",584.47,2023-08-19
May,2022,"IOCL-KOYALI, GUJARAT",1358.94,2023-08-19
May,2022,"IOCL-HALDIA, WEST BENGAL",712.40,2023-08-19
May,2022,CPCL-TOTAL,1005.44,2023-08-19
May,2022,"HPCL-VISAKH,ANDHRA PRADESH",802.67,2023-08-19
May,2022,HPCL-TOTAL,2757.90,2023-08-19
June,2022,CPCL-TOTAL,972.61,2023-08-19
June,2022,"BPCL-KOCHI, KERALA",1363.85,2023-08-19
June,2022,BORL-BINA,649.82,2023-08-19
June,2022,"HPCL-MUMBAI,MAHARASHTRA",851.69,2023-08-19
June,2022,"HPCL-VISAKH,ANDHRA PRADESH",781.84,2023-08-19
